Name,Module Name,Activity Type Name,Scheduled Days,Scheduled Start Time,Scheduled End Time,Duration,Scheduled Weeks,Allocated Location Name,Planned Size,Real Size,Allocated Staff Name
"BUSI1632/Tutorial/01-08 <19-21, 23-30>",BUSI1632/Negotiations/B/GM,Tutorial,Friday,11:00:00,12:00:00,01:00:00,"19-21, 23-30",QA175,30,30,IB5
BUSI1632/Tutorial/01-08 <22>,BUSI1632/Negotiations/B/GM,Tutorial,Friday,11:00:00,12:00:00,01:00:00,22,QA210,30,30,IB5
BUSI1646/Tutorial/01-1,BUSI1646/Understanding Int Bus 1/A/GM,Tutorial,Friday,10:00:00,12:00:00,02:00:00,3-14,SL001,27,22,IB5

"BUSI1633/Tutorial/01-05 <03, 05-11, 13-14>",BUSI1633/Strategy for Managers/A/GM,Tutorial,Friday,11:00:00,13:00:00,02:00:00,"3, 5-11, 13-14",QA165,24,24,BMOL4
"BUSI1633/Tutorial/01-05 <04, 12>",BUSI1633/Strategy for Managers/A/GM,Tutorial,Friday,11:00:00,13:00:00,02:00:00,"4, 12",QA063,24,24,BMOL4

BUSI1633/Tutorial/01-10 (BABEI-6) <03-07>,BUSI1633/Strategy for Managers/A/GM,Tutorial,Thursday,15:00:00,17:00:00,02:00:00,3-7,SL009,35,35,BMOL18
BUSI1633/Tutorial/01-10 (BABEI-6) <08-14>,BUSI1633/Strategy for Managers/A/GM,Tutorial,Thursday,15:00:00,17:00:00,02:00:00,8-14,SL006,35,35,BMOL18

BUSI1637/Tutorial/01-06,BUSI1637/Discover Project Management/A/GM,Tutorial,Tuesday,15:00:00,16:00:00,01:00:00,3-14,QM168,28,26,IB11
BUSI1637/Tutorial/01-1 (BABMG-J403),BUSI1637/Discover Project Management/B/GM,Tutorial,Tuesday,15:00:00,16:00:00,01:00:00,19-30,QM169,14,22,IB11

BUSI1647/Lecture/01 (BABMG-3),BUSI1647/Understanding Int Bus 2/B/GM,Lecture,Monday,09:00:00,10:00:00,01:00:00,19-30,KW003,47,40,IB11
BUSI1695/Tutorial/01-08 (SB),BUSI1695/International Bus Environment/A/GM,Tutorial,Monday,09:00:00,10:00:00,01:00:00,3-14,QM368,30,0,IB11
BUSI1712/ITLab/01-02 (BABMK-502a),BUSI1712/Project Planning & Management/B/GM,ITLab,Monday,09:00:00,11:00:00,02:00:00,19-30,"QM446-ZD (IT Lab),QM446-ZE (IT Lab)",20,22,IB11
BUSI1712/ITLab/01-04 (BABMK-501b) <19>,BUSI1712/Project Planning & Management/B/GM,ITLab,Monday,09:00:00,11:00:00,02:00:00,19,"QM446-ZF (IT Lab),QM446-ZG (IT Lab)",20,17,IB11

"MARK1266/Tutorial/01-05 (BABMG-S408, S410) <19, 21-23, 25>",MARK1266/Princ of Mktg in a Global Cont/B/GM,Tutorial,Monday,17:00:00,18:00:00,01:00:00,"19, 21-23, 25",QA165,32,31,HRM5
"MARK1266/Tutorial/01-05 (BABMG-S408, S410) <20, 24>",MARK1266/Princ of Mktg in a Global Cont/B/GM,Tutorial,Monday,17:00:00,18:00:00,01:00:00,"20, 24",KW003,32,31,HRM5
"MARK1266/Tutorial/01-05 (BABMG-S408, S410) <26-30>",MARK1266/Princ of Mktg in a Global Cont/B/GM,Tutorial,Monday,17:00:00,18:00:00,01:00:00,26-30,QA039,32,31,HRM5

BUSI1742/Workshop/01  (BABMGLE-5) <34-40>,BUSI1742/Operations & Resource Mgt/C/GM,Workshop,Tuesday,10:00:00,13:00:00,03:00:00,34-40,QA020,18,18,HPL3
BUSI1742/Workshop/01  (BABMGLE-5) <41>,BUSI1742/Operations & Resource Mgt/C/GM,Workshop,Tuesday,10:00:00,13:00:00,03:00:00,41,QA238,18,18,HPL3

BUSI1693/Lecture/01 (MAIB-J) <34-42>,BUSI1693/Global Networks & Innovation/C/GM,Lecture,Wednesday,14:00:00,15:00:00,01:00:00,34-42,QM268,70,24,IB4
BUSI1693/Lecture/01 (MAIB-J) <43-45>,BUSI1693/Global Networks & Innovation/C/GM,Lecture,Wednesday,14:00:00,15:00:00,01:00:00,43-45,QM245,30,24,IB4

BUSI1710/Tutorial/01-01,BUSI1710/International Business Project/J/GM,Tutorial,Monday,15:00:00,16:00:00,01:00:00,19-30,QM060,8,9,OSP6
BUSI1816/Workshop/01-5 <8>,BUSI1816/Global Busi' & Sustainability/A/GM,Workshop,Monday,15:00:00,17:00:00,02:00:00,8,QM069,21,21,OSP6

BUSI1712/ITLab/01-10 (BABF-501),BUSI1712/Project Planning & Management/B/GM,ITLab,Wednesday,11:00:00,13:00:00,02:00:00,19-30,10_B006 (IT Lab/Classroom),33,33,OSP6
BUSI1715/Tutorial/01-06 (BABMG-507),BUSI1715/Organisational Analysis & Perf/A/GM,Tutorial,Wednesday,11:00:00,12:00:00,01:00:00,3-14,KW016,29,28,OSP6

BUSI1715/Lecture/01-1 (BABMG-5),BUSI1715/Organisational Analysis & Perf/A/GM,Lecture,Wednesday,17:00:00,18:00:00,01:00:00,3-14,11_0003 (LT),331,317,OSP7
RESE1170/Tutorial/01-09 (BABMG-510),RESE1170/Business Research Methods/B/GM,Tutorial,Wednesday,16:00:00,18:00:00,02:00:00,"19-25, 30",QA238,29,27,OSP7

BUSI1715/Tutorial/01-01 (BABMG-501),BUSI1715/Organisational Analysis & Perf/A/GM,Tutorial,Wednesday,09:00:00,10:00:00,01:00:00,3-14,QM168,29,26,OSP5
RESE1170/ITLab/01-02 (BABMG-503),RESE1170/Business Research Methods/B/GM,ITLab,Wednesday,09:00:00,11:00:00,02:00:00,26-29,D165 (Classroom/IT),29,28,OSP5
RESE1170/Tutorial/01-03 (BABMG-503),RESE1170/Business Research Methods/B/GM,Tutorial,Wednesday,09:00:00,11:00:00,02:00:00,"19-25, 30",D166 (Classroom/IT),28,28,OSP5

BUSI1715/Tutorial/01-04 (BABMG-505),BUSI1715/Organisational Analysis & Perf/A/GM,Tutorial,Wednesday,09:00:00,10:00:00,01:00:00,3-14,11_2008 (Seminar),28,28,BMOL1
RESE1170/ITLab/01-11 (BABMG-501),RESE1170/Business Research Methods/B/GM,ITLab,Wednesday,09:00:00,11:00:00,02:00:00,26-29,"QM446-ZF (IT Lab),QM446-ZG (IT Lab)",27,24,BMOL1
RESE1170/Tutorial/01-01 (BABMG-501),RESE1170/Business Research Methods/B/GM,Tutorial,Wednesday,09:00:00,11:00:00,02:00:00,"19-25, 30",11_2016 (Seminar),28,24,BMOL1

