Name,Module Name,Activity Type Name,Scheduled Days,Scheduled Start Time,Scheduled End Time,Duration,Scheduled Weeks,Allocated Location Name,Planned Size,Real Size,Allocated Staff Name
BUSI1715/Tutorial/01-16 (SB),BUSI1715/Organisational Analysis & Perf/A/GM,Tutorial,Wednesday,13:00:00,14:00:00,01:00:00,3-14,SL109,25,0,SA12

BUSI1319/Tutorial/01-10 <19-30>,BUSI1319/FYP: Consultancy Project/D/GM,Tutorial,Wednesday,14:00:00,15:00:00,01:00:00,19-30,QM368,10,8,IES16
BUSI1326/Tutorial/01-07 (BABMG-510),BUSI1326/Fundamentals of Entrpreneurshi/A/GM,Tutorial,Wednesday,14:00:00,15:00:00,01:00:00,3-14,QM368,30,30,IES3

BUSI1319/Tutorial/01-11 (BAIB-601) <19-30>,BUSI1319/FYP: Consultancy Project/D/GM,Tutorial,Wednesday,10:00:00,11:00:00,01:00:00,19-30,QA175,19,21,IB7
INDU1033/Tutorial/01-1 <43-44> (MAIB-J01),INDU1033/Managing Across Cultures/C/GM,Tutorial,Wednesday,10:00:00,12:00:00,02:00:00,43-44,QA175,30,26,IB3

BUSI1322/Tutorial/01-01 (SB),BUSI1322/Innovation in Action/A/GM,Tutorial,Wednesday,09:00:00,10:00:00,01:00:00,3-14,D165 (Classroom/IT),30,0,IES18
RESE1170/ITLab/01-02 (BABMG-503),RESE1170/Business Research Methods/B/GM,ITLab,Wednesday,09:00:00,11:00:00,02:00:00,26-29,D165 (Classroom/IT),29,28,OSP5
RESE1170/Tutorial/01-02 (BABMG-502),RESE1170/Business Research Methods/B/GM,Tutorial,Wednesday,09:00:00,11:00:00,02:00:00,"19-25, 30",D165 (Classroom/IT),31,31,IES17

BUSI1322/Tutorial/01-02 (BABMK-602),BUSI1322/Innovation in Action/A/GM,Tutorial,Wednesday,10:00:00,11:00:00,01:00:00,3-14,QM169,31,29,IES18
BUSI1695/Tutorial/01-5 (BABMG-J402),BUSI1695/International Bus Environment/B/GM,Tutorial,Wednesday,10:00:00,11:00:00,01:00:00,19-30,QM169,30,23,BMOL8

BUSI1322/Tutorial/01-08 (SB),BUSI1322/Innovation in Action/A/GM,Tutorial,Wednesday,12:00:00,13:00:00,01:00:00,3-14,QA139,30,0,IES2
BUSI1695/Tutorial/01-3 (BABMG-J401),BUSI1695/International Bus Environment/B/GM,Tutorial,Wednesday,12:00:00,13:00:00,01:00:00,19-30,QA139,30,23,IB2

BUSI1322/Tutorial/01-09 (BABEI-6),BUSI1322/Innovation in Action/A/GM,Tutorial,Wednesday,12:00:00,13:00:00,01:00:00,3-14,SL105,32,32,IB9
BUSI1628/Tutorial/01-2 <19-30>,BUSI1628/Managing Orgs & Indiv/G/GM,Tutorial,Wednesday,12:00:00,13:00:00,01:00:00,19-30,SL105,30,24,BMOL3
INDU1033/Tutorial/01-6 <34-42> (MAIB-J04),INDU1033/Managing Across Cultures/C/GM,Tutorial,Wednesday,12:00:00,14:00:00,02:00:00,34-42,SL105,30,27,IB3
INDU1130/Tutorial/01-1,INDU1130/International HRM/D/GM,Tutorial,Wednesday,13:00:00,14:00:00,01:00:00,"3-14, 19-30",SL105,22,20,BMOL11

BUSI1322/Tutorial/01-12 (BABMK-601),BUSI1322/Innovation in Action/A/GM,Tutorial,Wednesday,10:00:00,11:00:00,01:00:00,3-14,QA020,28,28,IES2
BUSI1739/Workshop/01,BUSI1739/Leadership & Communication/B/GM,Workshop,Wednesday,10:00:00,13:00:00,03:00:00,23-30,QA020,40,15,BMOL22
MARK1264/Workshop/01 (BABMGLE-4),MARK1264/Mktg Principles & Sales Mgt/C/GM,Workshop,Wednesday,10:00:00,13:00:00,03:00:00,34-40,QA020,40,15,HPL5
INDU1033/Tutorial/01-6 <45> (MAIB-J04),INDU1033/Managing Across Cultures/C/GM,Tutorial,Wednesday,12:00:00,14:00:00,02:00:00,45,QA020,30,27,IB3

BUSI1323/Tutorial/01-06,BUSI1323/Leadership in Organisations/B/GM,Tutorial,Friday,14:00:00,15:00:00,01:00:00,19-30,QA239,26,27,BMOL12
BUSI1633/Tutorial/01-08 (BABMG-608),BUSI1633/Strategy for Managers/A/GM,Tutorial,Friday,14:00:00,16:00:00,02:00:00,3-14,QA239,24,24,IB7

BUSI1323/Tutorial/01-10,BUSI1323/Leadership in Organisations/B/GM,Tutorial,Friday,15:00:00,16:00:00,01:00:00,19-30,QM268,24,21,BMOL12
BUSI1633/Tutorial/01-09 (BABMG-609),BUSI1633/Strategy for Managers/A/GM,Tutorial,Friday,14:00:00,16:00:00,02:00:00,3-14,QM268,26,24,OSP12

BUSI1323/Tutorial/01-11 (BAIB-6),BUSI1323/Leadership in Organisations/B/GM,Tutorial,Friday,16:00:00,17:00:00,01:00:00,19-30,QA044,39,40,BMOL12
MARK1169/Presentation/01 (MALSCM),MARK1169/Consultancy Project/C/GM,Presentation,Friday,10:00:00,17:00:00,07:00:00,34,QA044,40,36,IES12

BUSI1324/Tutorial/01-02 (BABMK-601),BUSI1324/Managing Strategy/A/GM,Tutorial,Monday,14:00:00,16:00:00,02:00:00,3-14,QM169,31,31,SA10
"MARK1266/Tutorial/01-16 (BABMG-S403, S410)",MARK1266/Princ of Mktg in a Global Cont/B/GM,Tutorial,Monday,15:00:00,16:00:00,01:00:00,19-30,QM169,30,28,HRM6
"MARK1266/Tutorial/01-04 (BABMG-S407, S410)",MARK1266/Princ of Mktg in a Global Cont/B/GM,Tutorial,Monday,14:00:00,15:00:00,01:00:00,19-30,QM169,28,25,HRM5

"BUSI1324/Tutorial/01-04 (BABLTM-6, BABLSCM-6) <11-14>",BUSI1324/Managing Strategy/A/GM,Tutorial,Monday,14:00:00,16:00:00,02:00:00,11-14,QM369,29,29,OSP17
BUSI1743/Workshop/02 (BABMGLE- 601),BUSI1743/Global Business/A/GM,Workshop,Monday,14:00:00,17:00:00,03:00:00,3-10,QM369,21,21,IB10

BUSI1324/Tutorial/01-05 (CDE),BUSI1324/Managing Strategy/A/GM,Tutorial,Wednesday,16:00:00,18:00:00,02:00:00,3-14,11_2017 (Seminar),31,31,SA10
RESE1170/Tutorial/01-11 <30>,RESE1170/Business Research Methods/B/GM,Tutorial,Wednesday,16:00:00,18:00:00,02:00:00,30,11_2017 (Seminar),21,22,SA10

BUSI1324/Tutorial/01-06 (CDE),BUSI1324/Managing Strategy/A/GM,Tutorial,Wednesday,15:00:00,17:00:00,02:00:00,3-14,SL006,29,29,BMOL21
BUSI1819/Tutorial 01-03 <34-42>,BUSI1819/International Busi' Simulation/C/GM,Tutorial,Wednesday,15:00:00,17:00:00,02:00:00,34-42,SL006,30,25,HPL3

BUSI1324/Tutorial/01-07 (CDE),BUSI1324/Managing Strategy/A/GM,Tutorial,Wednesday,15:00:00,17:00:00,02:00:00,3-14,QA210,28,27,BMOL4
INDU1033/Tutorial/01-6 <20-30>,INDU1033/Managing Across Cultures/B/GM,Tutorial,Wednesday,15:00:00,17:00:00,02:00:00,20-30,QA210,23,22,IB9
MARK1264/Workshop/04 (BABMGLE-4),MARK1264/Mktg Principles & Sales Mgt/C/GM,Workshop,Wednesday,14:00:00,17:00:00,03:00:00,41,QA210,30,15,HPL5

BUSI1324/Tutorial/01-08 (BABS-601),BUSI1324/Managing Strategy/A/GM,Tutorial,Wednesday,11:00:00,13:00:00,02:00:00,3-14,QA238,32,31,BMOL21
INDU1033/Tutorial/01-4 <19-21>,INDU1033/Managing Across Cultures/B/GM,Tutorial,Wednesday,12:00:00,14:00:00,02:00:00,19-21,QA238,24,33,IB3

BUSI1324/Tutorial/01-09 (BABS-602),BUSI1324/Managing Strategy/A/GM,Tutorial,Wednesday,12:00:00,14:00:00,02:00:00,3-14,SL103,19,19,BMOL4
BUSI1628/Tutorial/01-2 <34-42>,BUSI1628/Managing Orgs & Indiv/G/GM,Tutorial,Wednesday,12:00:00,13:00:00,01:00:00,34-42,SL103,30,24,New Staff
BUSI1628/Tutorial/01-3 <19-30>,BUSI1628/Managing Orgs & Indiv/G/GM,Tutorial,Wednesday,12:00:00,13:00:00,01:00:00,19-30,SL103,14,22,V3

BUSI1324/Tutorial/01-10 (BABMK-603),BUSI1324/Managing Strategy/A/GM,Tutorial,Wednesday,12:00:00,14:00:00,02:00:00,3-14,Cooper 005,26,26,BMOL18
BUSI1618/Tutorial/01-4 (BABMG-301),BUSI1618/Introduction to Management/B/GM,Tutorial,Wednesday,13:00:00,14:00:00,01:00:00,19-30,Cooper 005,20,18,IB5
INDU1033/Tutorial/01-5 (MAIB-J03),INDU1033/Managing Across Cultures/C/GM,Tutorial,Wednesday,12:00:00,14:00:00,02:00:00,34-45,Cooper 005,30,25,HPL1

BUSI1324/Tutorial/01-14 (SB) <12>,BUSI1324/Managing Strategy/A/GM,Tutorial,Wednesday,14:00:00,16:00:00,02:00:00,12,QA044,30,0,OSP4
BUSI1737/Workshop/02,BUSI1737/Business & Economic Environm/A/GM,Workshop,Wednesday,14:00:00,17:00:00,03:00:00,3-10,QA044,14,14,IES1

BUSI1326/Tutorial/01-11 (BABMG-508),BUSI1326/Fundamentals of Entrpreneurshi/A/GM,Tutorial,Wednesday,16:00:00,17:00:00,01:00:00,3-14,QA110,28,28,IES16
BUSI1819/Tutorial 01-01 <43-44>,BUSI1819/International Busi' Simulation/C/GM,Tutorial,Wednesday,15:00:00,17:00:00,02:00:00,43-44,QA110,30,26,IB10

"BUSI1327/Tutorial/01-02 (BABLTM-5, BABPSC-5)",BUSI1327/Innov in Competitive Environme/B/GM,Tutorial,Thursday,10:00:00,11:00:00,01:00:00,19-30,QM245,24,24,IES2
ECON1165/Tutorial/01-03 (MAIB-A2 opt),ECON1165/International Economics/Innov/A/GM,Tutorial,Thursday,10:00:00,11:00:00,01:00:00,3-14,QM245,35,35,AFE1

BUSI1327/Tutorial/01-12 (BABMG-507),BUSI1327/Innov in Competitive Environme/B/GM,Tutorial,Thursday,13:00:00,14:00:00,01:00:00,19-30,11_2008 (Seminar),29,28,OSP17
FINA1141/Tutorial/01-09 (MBAIB-A203),FINA1141/International Business Finance/A/GM,Tutorial,Thursday,13:00:00,14:00:00,01:00:00,3-14,11_2008 (Seminar),23,23,AFE16

BUSI1327/Tutorial/01-13 (BABMG-505),BUSI1327/Innov in Competitive Environme/B/GM,Tutorial,Thursday,14:00:00,15:00:00,01:00:00,19-30,QM069,26,29,BMOL6
COMP1918/Tutorial/01-02,COMP1918/Ethical & Legal Aspects of BA/A/GM,Tutorial,Thursday,14:00:00,15:00:00,01:00:00,3-14,QM069,23,21,IES7

"BUSI1333/Lecture/01-02 (BABEI-4, BABF-4, BABMK-4)",BUSI1333/Intro to Business Processes/D/GM,Lecture,Monday,13:00:00,14:00:00,01:00:00,3-14,QA280 (LT),124,116,IES9
BUSI1604/Skills/01-1 (MAIB-J),BUSI1604/Fdns of Scholarship & Res/B/GM,Skills,Monday,13:00:00,14:00:00,01:00:00,19-30,QA280 (LT),90,103,IES15

